Fire Year,District,Unit,Fire Number,Fire Name,Legal,Latitude,Longitude,Fuel Model,County,Report Date,General Cause,ODF_Acres,Total_Acres
2019,71 - Southwest,Grants Pass,25,N Applegate 17575,T38S R4W S16 NESW,"42°  15'  46.22""","-123°  11'  6.71""",L,Jackson,7/4/19 15:24,Equipment Use,3.74,3.74
2019,71 - Southwest,Medford,28,Falls Rd. PP #030702,T35S R2E S3 SWNW,"42°  33'  37""","-122°  34'  46.5""",H,Jackson,7/8/19 18:03,Equipment Use,0.1,0.1
2019,71 - Southwest,Grants Pass,28,E Evans Crk/Earheart Rd,T36S R4W S3 NENW,"42°  28'  32.65""","-123°  9'  51.5""",A,Jackson,7/4/19 17:41,Miscellaneous,0.01,0.01
2019,71 - Southwest,Grants Pass,32,RR Highway,T36S R4W S30 SENE,"42°  24'  53.47""","-123°  12'  33.84""",A,Jackson,7/4/19 19:37,Recreationist,0.01,0.01
2019,71 - Southwest,Grants Pass,36,Wild Rivers,T39S R8W S21 NENE,"42°  10'  1.44""","-123°  38'  39.3""",H,Josephine,7/5/19 17:00,Smoking,0.01,0.01
2019,71 - Southwest,Medford,37,Fall Creek,T33S R2E S31 NESW,"42°  39'  21.78""","-122°  37'  48.45""",H,Jackson,7/11/19 12:31,Debris Burning,0.01,0.01
2019,71 - Southwest,Medford,41,Ramsey Rd 8640,T35S R2W S30 NWSW,"42°  29'  50.7""","-122°  59'  31.68""",L,Jackson,7/13/19 18:55,Miscellaneous,0.1,0.1
2019,71 - Southwest,Medford,45,E. Evans Creek 24100,T33S R2W S33 SWNE,"42°  39'  35""","-122°  56'  30""",K,Jackson,7/16/19 12:42,Equipment Use,0.25,0.25
2019,71 - Southwest,Medford,47,Upper Applegate 4.5,T39S R3W S15 SENW,"42°  10'  46.8""","-123°  2'  37.5""",A,Jackson,7/16/19 17:07,Equipment Use,0.01,0.01
2019,71 - Southwest,Medford,52,Pacific Crest Trail,T39S R4E S5 SWSW,"42°  12'  1.26""","-122°  22'  51.78""",J,Jackson,7/17/19 20:51,Smoking,0.01,0.01
2019,71 - Southwest,Grants Pass,52,Williams Hwy 4700 Blk,T37S R5W S6 SWSE,"42°  22'  33.54""","-123°  20'  6.78""",A,Josephine,7/5/19 7:05,Equipment Use,0.01,0.01
2019,71 - Southwest,Medford,68,Hammel Rd 2709,T34S R1W S33 NESE,"42°  34'  4.82""","-122°  49'  12.05""",A,Jackson,7/20/19 20:24,Miscellaneous,0.2,0.2
2019,71 - Southwest,Medford,75,Double Day,T35S R2E S23 NENW,"42°  31'  13.98""","-122°  33'  21.96""",B,Jackson,7/23/19 12:00,Equipment Use,0.5,0.5
2019,71 - Southwest,Medford,78,Joseph Stewart Park,T33S R2E S20 SWNE,"42°  41'  18.18""","-122°  36'  24.48""",A,Jackson,7/23/19 22:26,Miscellaneous,2,2
2019,71 - Southwest,Medford,79,Elk Creek Rd MM5,T33S R1E S8 NWSE,"42°  42'  54.3""","-122°  43'  27""",H,Jackson,7/23/19 17:11,Arson,0.1,0.1
2019,71 - Southwest,Medford,90,Blackwell Rd 11420,T36S R3W S23 SWNE,"42°  25'  37.32""","-123°  1'  15.72""",A,Jackson,7/26/19 19:03,Miscellaneous,0.1,0.1
2019,71 - Southwest,Medford,91,I-5 MM38,T36S R3W S25 SENE,"42°  24'  47.28""","-122°  59'  42.6""",R,Jackson,7/27/19 12:25,Equipment Use,0.5,0.5
2019,71 - Southwest,Grants Pass,95,Garner Rd 670,T39S R7W S31 NENE,"42°  8'  23.52""","-123°  34'  0.18""",A,Josephine,7/10/19 23:31,Miscellaneous,0.1,0.1
2019,71 - Southwest,Medford,96,Hwy 66 PP# E2229,T39S R2E S19 SWSE,"42°  9'  22.32""","-122°  37'  45.72""",A,Jackson,7/28/19 18:00,Equipment Use,0,0.1
2019,71 - Southwest,Grants Pass,96,Holland Loop 5373,T40S R7W S6 NENW,"42°  7'  30.18""","-123°  34'  26.52""",H,Josephine,7/11/19 3:42,Equipment Use,0.01,0.01
2019,71 - Southwest,Medford,99,Port of Entry South,T38S R1E S32 SWNE,"42°  12'  20""","-122°  43'  29""",A,Jackson,7/30/19 15:44,Equipment Use,1,1
2019,71 - Southwest,Medford,100,Port of Entry North,T38S R1E S32 SENW,"42°  13'  31.32""","-122°  43'  53.28""",A,Jackson,7/30/19 15:44,Equipment Use,1,1
2019,71 - Southwest,Grants Pass,101,Hog Creek,T35S R7W S2 SWSE,"42°  33'  5.22""","-123°  28'  30.12""",J,Josephine,7/11/19 14:10,Equipment Use,0.2,0.2
2019,71 - Southwest,Medford,107,East Evans,T34S R3W S24 NWSE,"42°  36'  0""","-123°  0'  13.8""",C,Jackson,8/2/19 13:55,Miscellaneous,155,155
2019,71 - Southwest,Medford,111,Rogue River Dr 6541,T34S R1W S21 NENW,"42°  36'  17.58""","-122°  49'  39.24""",X,Jackson,8/3/19 18:55,Miscellaneous,0,0.1
2019,71 - Southwest,Grants Pass,112,Hanby Ln,T39S R8W S16 NESE,"42°  10'  25.26""","-123°  38'  39.06""",A,Josephine,7/12/19 16:12,Smoking,0.01,0.01
2019,71 - Southwest,Medford,116,Little Applegate,T39S R2W S28 SWNW,"42°  9'  0.42""","-122°  57'  4.32""",A,Jackson,8/4/19 17:37,Lightning,6.7,6.7
2019,71 - Southwest,Medford,117,Yale West,T39S R2W S29 SWNE,"42°  8'  57.78""","-122°  57'  43.68""",L,Jackson,8/4/19 17:37,Lightning,0.75,0.75
2019,71 - Southwest,Medford,131,Juliet AVE 1000,T35S R1W S30 SESW,"42°  29'  27.78""","-122°  52'  9.06""",L,Jackson,8/7/19 13:36,Equipment Use,0.25,0.25
2019,71 - Southwest,Grants Pass,131,Walker Mt.,T35S R5W S8 SESE,"42°  32'  17.36""","-123°  18'  33.2""",R,Josephine,7/15/19 22:11,Recreationist,0.01,0.01
2019,71 - Southwest,Medford,138,Benson Gulch,T39S R3W S30 NENW,"42°  9'  18.9""","-123°  6'  15.18""",H,Jackson,8/9/19 21:58,Lightning,0.01,0.01
2019,71 - Southwest,Medford,140,Cinnabar,T39S R2W S31 SESE,"42°  7'  37.2""","-122°  58'  31.2""",H,Jackson,8/9/19 15:09,Lightning,0.01,0.01
2019,71 - Southwest,Medford,150,Syfer Gulch,T34S R3W S35 NWSW,"42°  34'  6""","-123°  1'  54.6""",C,Jackson,8/9/19 17:28,Lightning,0.1,0.1
2019,71 - Southwest,Medford,151,Mill-mar ranch,T33S R3E S23 NWNE,"42°  41'  29.28""","-122°  25'  35.76""",G,Jackson,8/10/19 0:56,Lightning,0.01,0.01
2019,71 - Southwest,Medford,155,Big Sugar,T32S R4E S30 SESE,"42°  45'  15.42""","-122°  23'  13.62""",G,Jackson,8/10/19 3:06,Lightning,0,0.01
2019,71 - Southwest,Medford,159,Cattail Creek,T34S R2E S20 SWNE,"42°  36'  15""","-122°  36'  58""",H,Jackson,8/10/19 4:50,Lightning,0.1,0.1
2019,71 - Southwest,Medford,164,Soda Creek,T37S R3E S31 SWSW,"42°  18'  21.46""","-122°  31'  11.16""",H,Jackson,8/10/19 10:05,Lightning,0.01,0.01
2019,71 - Southwest,Grants Pass,165,S Vannoy Creek 131,T35S R6W S34 SWSE,"42°  28'  41.52""","-123°  23'  47.28""",A,Josephine,7/21/19 18:35,Miscellaneous,0.01,0.01
2019,71 - Southwest,Medford,168,Cole Spring,T41S R1E S1 SENE,"42°  2'  9.18""","-122°  38'  41.4""",H,Jackson,8/9/19 14:50,Lightning,0.01,0.01
2019,71 - Southwest,Medford,174,Lost Creek Cove,T33S R1E S14 NESW,"42°  42'  1.38""","-122°  40'  14.58""",U,Jackson,8/11/19 11:51,Lightning,0.1,0.1
2019,71 - Southwest,Grants Pass,182,Holton Creek Rd 108,T39S R8W S9 SWNE,"42°  11'  33.12""","-123°  38'  57.72""",A,Josephine,7/24/19 16:00,Smoking,0.01,0.01
2019,71 - Southwest,Medford,199,Blackwell Rd 8087,T36S R2W S29 NENW,"42°  24'  57""","-122°  58'  1.32""",X,Jackson,8/18/19 14:53,Miscellaneous,0,0.1
2019,71 - Southwest,Grants Pass,199,Sleepy Hollow 555,T37S R6W S4 NESW,"42°  22'  52.86""","-123°  25'  7.62""",F,Josephine,7/27/19 13:46,Miscellaneous,0.1,0.1
2019,71 - Southwest,Grants Pass,200,South Old Stage Rd,T39S R8W S21 SESE,"42°  9'  19.02""","-123°  38'  35.64""",H,Josephine,7/26/19 15:04,Smoking,0.29,0.29
2019,71 - Southwest,Medford,221,15360 Jones Rd,T35S R2W S11 NESE,"42°  32'  26.52""","-122°  53'  56.82""",L,Jackson,8/25/19 12:40,Equipment Use,1,1
2019,71 - Southwest,Grants Pass,221,Patton Bar 113,T40S R8W S8 NWNW,"42°  6'  30.66""","-123°  40'  32.04""",A,Josephine,7/28/19 15:43,Miscellaneous,0.14,0.14
2019,71 - Southwest,Medford,231,Double Day Creek,T35S R2E S25 SWNW,"42°  30'  1.8""","-122°  32'  24.6""",H,Jackson,8/27/19 11:17,Equipment Use,0.01,0.01
2019,71 - Southwest,Grants Pass,232,Elkhorn 300,T36S R7W S23 SWNW,"42°  25'  44.9""","-123°  30'  0.26""",F,Josephine,7/30/19 17:37,Miscellaneous,0.01,0.01
2019,71 - Southwest,Medford,233,Gyda Ln,T38S R3W S30 SWNE,"42°  14'  24.72""","-123°  5'  57.12""",C,Jackson,8/27/19 15:57,Equipment Use,54,54
2019,71 - Southwest,Grants Pass,233,Panther Gulch,T38S R5W S36 SESE,"42°  13'  7.2""","-123°  14'  8.4""",T,Josephine,7/30/19 17:34,Smoking,59,59
2019,71 - Southwest,Grants Pass,234,Mesa Verde Dr 555,T40S R8W S4 NENW,"42°  7'  20.34""","-123°  39'  7.56""",A,Josephine,7/30/19 19:53,Debris Burning,0.01,0.01
2019,71 - Southwest,Grants Pass,248,Forks Park,T39S R8W S21 SESW,"42°  9'  28.68""","-123°  39'  8.7""",A,Josephine,8/1/19 11:46,Smoking,0.01,0.01
2019,71 - Southwest,Medford,253,Meridian 784 PP#01436001,T36S R1E S18 SWSW,"42°  25'  58.5""","-122°  45'  26.7""",A,Jackson,9/2/19 17:55,Equipment Use,0.25,0.25
2019,71 - Southwest,Grants Pass,253,Cedar Flat,T39S R6W S2 NWSW,"42°  12'  27.48""","-123°  22'  59.28""",C,Josephine,8/1/19 13:30,Arson,0.01,0.01
2019,71 - Southwest,Grants Pass,254,Westside Rd #1,T39S R8W S17 SWNE,"42°  10'  48.78""","-123°  40'  4.04""",K,Josephine,8/1/19 14:02,Arson,0.01,0.01
2019,71 - Southwest,Grants Pass,255,Westside Rd #2,T39S R8W S17 SWNE,"42°  10'  48.78""","-123°  40'  4.62""",A,Josephine,8/1/19 14:00,Arson,0.01,0.01
2019,71 - Southwest,Medford,256,Hwy 62 25580,T33S R1W S36 SWNW,"42°  39'  28.68""","-122°  46'  27.18""",A,Jackson,9/4/19 15:15,Equipment Use,0,0.01
2019,71 - Southwest,Grants Pass,257,Robinson Road,T36S R6W S29 NWSE,"42°  24'  29.77""","-123°  26'  0.48""",A,Josephine,8/1/19 18:35,Miscellaneous,0.1,0.1
2019,71 - Southwest,Medford,261,Ginger Creek,T35S R2E S23 SWNW,"42°  30'  48""","-122°  33'  34.5""",C,Jackson,9/5/19 8:00,Lightning,0.1,0.1
2019,71 - Southwest,Medford,263,Old HWY 99 12697,T41S R2E S4 SWSE,"42°  1'  36""","-122°  35'  25.98""",U,Jackson,9/5/19 5:00,Lightning,0.01,0.01
2019,71 - Southwest,Medford,264,Antelope Creek,T38S R2E S18 NESW,"42°  15'  52""","-122°  38'  1""",C,Jackson,9/5/19 5:12,Lightning,0.5,0.5
2019,71 - Southwest,Medford,265,Grouse Creek,T39S R3W S25 SENE,"42°  8'  56.4""","-122°  59'  39""",C,Jackson,9/5/19 12:30,Lightning,0.01,0.01
2019,71 - Southwest,Grants Pass,265,Humbug Creek,T38S R4W S14 SESW,"42°  15'  38.88""","-123°  8'  38.95""",A,Jackson,8/2/19 18:06,Miscellaneous,0.1,0.1
2019,71 - Southwest,Medford,266,Ginger 2,T35S R2E S23 NWSW,"42°  30'  44.82""","-122°  33'  36""",C,Jackson,9/5/19 6:00,Lightning,0.25,0.25
2019,71 - Southwest,Medford,267,Old Stage rd 4609,T37S R2W S5 SWSW,"42°  22'  39.6""","-122°  58'  22.2""",A,Jackson,9/5/19 6:00,Lightning,0.1,0.1
2019,71 - Southwest,Medford,268,3 Corners,T40S R2E S7 SENE,"42°  6'  24.6""","-122°  37'  28.2""",C,Jackson,9/5/19 6:43,Lightning,0.1,0.1
2019,71 - Southwest,Grants Pass,268,Ferry Road,T36S R7W S12 NWNW,"42°  27'  43.2""","-123°  28'  58.8""",X,Josephine,8/3/19 2:43,Debris Burning,0.01,0.01
2019,71 - Southwest,Medford,269,Grizzly,T38S R2E S18 NWSW,"42°  15'  56.28""","-122°  38'  7.68""",C,Jackson,9/5/19 8:28,Lightning,0.5,0.5
2019,71 - Southwest,Grants Pass,270,Kerby Mainline #1,T39S R8W S2 NWSW,"42°  12'  15.12""","-123°  37'  19.26""",F,Josephine,8/3/19 16:35,Arson,0.16,0.16
2019,71 - Southwest,Grants Pass,271,Kerby Mainline #2,T39S R8W S3 NESE,"42°  12'  20.94""","-123°  37'  22.8""",F,Josephine,8/3/19 16:35,Arson,0.13,0.13
2019,71 - Southwest,Grants Pass,272,I-5 MM 79,T33S R6W S11 SWNE,"42°  43'  11.16""","-123°  22'  21.9""",H,Josephine,8/3/19 17:23,Equipment Use,0.1,0.1
2019,71 - Southwest,Grants Pass,273,Reeves Creek,T38S R8W S26 SWNW,"42°  14'  11.18""","-123°  37'  12.4""",C,Josephine,8/3/19 17:48,Arson,1.5,1.5
2019,71 - Southwest,Medford,274,Svinth Creek,T32S R4E S30 NWNE,"42°  45'  46.56""","-122°  23'  32.7""",C,Jackson,9/5/19 9:54,Lightning,0.1,0.1
2019,71 - Southwest,Medford,275,Arrastra Creek,T39S R1W S21 SWNW,"42°  9'  59.4""","-122°  49'  48.48""",C,Jackson,9/5/19 10:01,Lightning,0.1,0.1
2019,71 - Southwest,Grants Pass,275,I-5 NB MM 61,T35S R6W S36 NWNW,"42°  29'  27.68""","-123°  21'  46.31""",C,Josephine,8/3/19 20:25,Arson,0.01,0.01
2019,71 - Southwest,Medford,276,Ginger 3,T35S R2E S23 NESW,"42°  30'  35.76""","-122°  33'  23.58""",J,Jackson,9/5/19 6:30,Lightning,0.01,0.01
2019,71 - Southwest,Medford,277,White Rock,T33S R3W S28 SWNW,"42°  40'  24""","-123°  4'  10.8""",C,Jackson,9/5/19 11:05,Lightning,0.01,0.01
2019,71 - Southwest,Medford,282,Forest Creek,T38S R3W S4 NESE,"42°  17'  37.68""","-123°  3'  16.62""",C,Jackson,9/5/19 14:11,Lightning,0.1,0.1
2019,71 - Southwest,Medford,283,Gardener Butte,T36S R2E S4 NESE,"42°  27'  55.56""","-122°  34'  58.44""",C,Jackson,9/5/19 17:25,Lightning,0.25,0.25
2019,71 - Southwest,Medford,284,Boaz,T39S R3W S25 SWNW,"42°  9'  0.96""","-123°  0'  45.24""",C,Jackson,9/5/19 18:27,Lightning,0.15,0.15
2019,71 - Southwest,Medford,288,Kane Creek,T37S R3W S14 NWSE,"42°  21'  4.62""","-123°  1'  17.22""",I,Jackson,9/5/19 22:33,Lightning,0.38,0.38
2019,71 - Southwest,Medford,292,Ball Rd 523,T35S R1W S22 NWNE,"42°  31'  2.1""","-122°  48'  10.98""",A,Jackson,9/7/19 18:57,Equipment Use,0.01,0.01
2019,71 - Southwest,Medford,293,Mill Creek MP 2,T33S R2E S11 SENW,"42°  42'  55.2""","-122°  33'  8.22""",U,Jackson,9/8/19 1:15,Equipment Use,0.1,0.1
2019,71 - Southwest,Medford,295,Reiten Dr #1,T39S R1E S24 NESE,"42°  9'  48.12""","-122°  38'  27.9""",A,Jackson,9/9/19 14:30,Equipment Use,0,0.5
2019,71 - Southwest,Medford,296,Reiten Dr #2,T39S R2E S30 NWSE,"42°  8'  55.52""","-122°  37'  35.8""",A,Jackson,9/9/19 14:40,Equipment Use,0.1,0.1
2019,71 - Southwest,Medford,297,Reiten Dr #3,T39S R2E S30 NWSE,"42°  8'  50.88""","-122°  37'  36.48""",A,Jackson,9/9/19 14:40,Equipment Use,1,1
2019,71 - Southwest,Medford,298,Reiten Dr #4,T39S R2E S30 SWSE,"42°  8'  31.68""","-122°  37'  33.12""",A,Jackson,9/9/19 14:40,Equipment Use,0,0.5
2019,71 - Southwest,Grants Pass,300,Watergap Rd 15150,T38S R5W S15 SWNE,"42°  16'  2.22""","-123°  16'  37.02""",C,Josephine,8/6/19 6:02,Smoking,0.11,0.11
2019,71 - Southwest,Medford,302,Butte Falls Hwy 10285,T34S R1E S26 SESW,"42°  34'  45.96""","-122°  40'  15.06""",L,Jackson,9/10/19 10:10,Debris Burning,0.25,0.25
2019,71 - Southwest,Medford,306,Chicago Trail,T32S R2W S33 NWSW,"42°  44'  40.14""","-122°  56'  48.9""",C,Jackson,9/11/19 15:08,Lightning,0.1,0.1
2019,71 - Southwest,Medford,309,Dean Drive,T37S R2W S5 SENW,"42°  23'  9.66""","-122°  58'  1.38""",A,Jackson,9/12/19 10:30,Equipment Use,0.25,0.25
2019,71 - Southwest,Medford,312,Kershaw Rd 6900,T36S R1W S27 NENW,"42°  24'  44""","-122°  48'  27""",A,Jackson,9/14/19 13:59,Recreationist,0.25,0.25
2019,71 - Southwest,Medford,318,Sardine Creek 4216,T35S R3W S28 SWSE,"42°  29'  31.74""","-123°  3'  45.3""",A,Jackson,9/19/19 16:41,Equipment Use,0.5,0.5
2019,71 - Southwest,Medford,320,Hwy 140,T36S R3E S32 NESW,"42°  23'  39.64""","-122°  29'  51""",H,Jackson,9/20/19 22:48,Equipment Use,0.1,0.1
2019,71 - Southwest,Medford,324,I5 NB MM 10.5,T40S R2E S6 NWNE,"42°  7'  29.82""","-122°  37'  40.62""",X,Jackson,9/21/19 13:19,Equipment Use,0,0
2019,71 - Southwest,Grants Pass,324,Winona Rd 3485,T35S R5W S4 NWSW,"42°  33'  19.5""","-123°  18'  32.66""",R,Josephine,8/8/19 5:16,Arson,1.4,1.4
2019,71 - Southwest,Medford,328,Hwy 234 8514,T35S R2W S32 NESE,"42°  28'  59.46""","-122°  57'  21.96""",U,Jackson,9/23/19 16:09,Equipment Use,0,0.1
2019,71 - Southwest,Medford,334,Dead Indian Memorial,T38S R3E S30 SWNW,"42°  14'  13.68""","-122°  31'  13.8""",A,Jackson,9/25/19 19:28,Equipment Use,0.1,0.1
2019,71 - Southwest,Medford,338,Obenchain MP 9,T35S R2E S7 NESE,"42°  32'  28.68""","-122°  37'  18.6""",A,Jackson,10/1/19 15:09,Recreationist,0.01,0.01
2019,71 - Southwest,Medford,340,W Griffin Creek,T38S R2W S9 NESW,"42°  16'  48.42""","-122°  56'  40.62""",A,Jackson,10/6/19 17:55,Debris Burning,1,1
2019,71 - Southwest,Grants Pass,340,Humbug,T38S R4W S23 NWNW,"42°  15'  29.4""","-123°  9'  0.24""",H,Josephine,8/9/19 15:36,Lightning,0.01,0.01
2019,71 - Southwest,Grants Pass,341,Hyde Park,T38S R5W S3 NWNW,"42°  18'  8.64""","-123°  16'  30.45""",H,Josephine,8/9/19 16:30,Lightning,0.01,0.01
2019,71 - Southwest,Medford,343,Heppsie Mountain,T37S R3E S7 NWNE,"42°  22'  26.36""","-122°  30'  41.67""",U,Jackson,10/24/19 15:05,Debris Burning,19,19
2019,71 - Southwest,Grants Pass,344,Finch Road #1,T39S R8W S9 NWNW,"42°  11'  46.38""","-123°  39'  34.68""",F,Josephine,8/9/19 19:41,Arson,0.01,0.01
2019,71 - Southwest,Grants Pass,345,Finch Road #2,T39S R8W S9 SWNW,"42°  11'  25.68""","-123°  39'  18.3""",F,Josephine,8/9/19 19:41,Arson,0.01,0.01
2019,71 - Southwest,Medford,346,Crowfoot Rd 4457,T34S R1E S10 NESW,"42°  37'  39.48""","-122°  41'  28.32""",G,Jackson,10/28/19 14:39,Debris Burning,0.5,0.5
2019,71 - Southwest,Medford,347,Salt Creek,T36S R2E S6 NWNW,"42°  28'  16.44""","-122°  38'  11.4""",R,Jackson,10/29/19 12:55,Debris Burning,1.75,1.75
2019,71 - Southwest,Medford,353,West Fork Trail Creek,T33S R2W S12 SWNW,"42°  43'  0.48""","-122°  53'  30.3""",J,Jackson,11/3/19 17:31,Recreationist,1,1
2019,71 - Southwest,Medford,354,Board Mountain,T34S R1W S6 NENW,"42°  39'  1.8""","-122°  52'  11.58""",J,Jackson,11/5/19 14:51,Recreationist,0.25,0.25
2019,71 - Southwest,Grants Pass,354,Woodcock Creek,T39S R9W S36 SESW,"42°  7'  35.52""","-123°  42'  34.08""",A,Josephine,8/10/19 17:45,Lightning,0.04,0.04
2019,71 - Southwest,Medford,355,Canyon Ridge,T39S R2E S3 SESE,"42°  12'  8.22""","-122°  33'  57""",U,Jackson,11/6/19 8:25,Recreationist,0.01,0.01
2019,71 - Southwest,Medford,356,Romine Creek,T33S R2W S23 SENE,"42°  41'  17.88""","-122°  53'  46.8""",J,Jackson,11/7/19 11:15,Recreationist,0.6,0.6
2019,71 - Southwest,Grants Pass,385,Finch Rd 271,T39S R8W S9 SENW,"42°  11'  31.65""","-123°  39'  22.35""",A,Josephine,8/13/19 18:45,Miscellaneous,0.01,0.01
2019,71 - Southwest,Grants Pass,394,Finch Road 271 #2,T39S R8W S9 SWNW,"42°  11'  34.09""","-123°  39'  24.26""",X,Josephine,8/14/19 13:07,Arson,0.01,0.01
2019,71 - Southwest,Grants Pass,409,PP-A12240/Meadow Lark755,T35S R5W S29 NWNW,"42°  30'  20.64""","-123°  19'  39.18""",A,Josephine,8/16/19 20:35,Equipment Use,0.1,0.1
2019,71 - Southwest,Grants Pass,413,Pierce Riffle Park,T36S R5W S24 NESW,"42°  25'  23.22""","-123°  14'  33.6""",A,Josephine,8/18/19 20:42,Smoking,0.01,0.01
2019,71 - Southwest,Grants Pass,422,Rough & Ready Creek,T40S R8W S18 NENE,"42°  5'  42.96""","-123°  40'  59.52""",A,Josephine,8/19/19 16:15,Arson,0.01,0.01
2019,71 - Southwest,Grants Pass,424,PP-139700/Oak Ranch 379,T36S R7W S13 NENE,"42°  26'  40.08""","-123°  27'  55.62""",A,Josephine,8/19/19 18:55,Equipment Use,0.01,0.01
2019,71 - Southwest,Grants Pass,436,West Jones Crk Rd 2199,T36S R5W S4 SESE,"42°  27'  58.92""","-123°  17'  28.62""",A,Josephine,8/20/19 18:39,Miscellaneous,0.25,0.25
2019,71 - Southwest,Grants Pass,497,Finch Rd 271 #3,T39S R8W S9 SWNW,"42°  11'  38.18""","-123°  39'  27.25""",F,Josephine,8/27/19 17:52,Arson,0.05,0.05
2019,71 - Southwest,Grants Pass,505,Dwight Creek,T41S R9W S11 SESW,"42°  0'  43.68""","-123°  44'  2.82""",A,Josephine,8/28/19 15:43,Lightning,0.01,0.01
2019,71 - Southwest,Grants Pass,508,HWY 238 MP 18,T38S R4W S21 NENE,"42°  15'  17.34""","-123°  10'  18.96""",L,Jackson,8/29/19 10:02,Miscellaneous,0.01,0.01
2019,71 - Southwest,Medford,515,Upper Applegate Rd 2829,T39S R3W S10 NWNE,"42°  11'  52.98""","-123°  2'  24.6""",A,Jackson,3/11/19 14:21,Debris Burning,13,13
2019,71 - Southwest,Grants Pass,515,Redwood Hwy 9560,T37S R7W S2 SWSW,"42°  22'  33.36""","-123°  29'  58.86""",A,Josephine,8/29/19 20:14,Recreationist,0.1,0.1
2019,71 - Southwest,Medford,516,Jacksonville Reservoir R,T37S R3W S25 SESE,"42°  19'  0.48""","-122°  59'  44.28""",C,Jackson,3/11/19 15:57,Debris Burning,2,2
2019,71 - Southwest,Medford,519,Medco B,T33S R3E S28 SWNE,"42°  40'  25.98""","-122°  28'  2.88""",I,Jackson,5/4/19 13:42,Debris Burning,345,345
2019,71 - Southwest,Medford,520,Crowfoot Rd 1991,T34S R1E S21 SWNE,"42°  36'  3""","-122°  42'  25""",A,Jackson,5/4/19 18:17,Miscellaneous,0.25,0.25
2019,71 - Southwest,Grants Pass,520,W Evans Crk Rd 5642,T35S R4W S28 NENW,"42°  30'  14.82""","-123°  11'  3.6""",A,Jackson,8/30/19 14:25,Equipment Use,0.01,0.01
2019,71 - Southwest,Medford,521,Hwy 62 44335,T33S R2E S1 NWNW,"42°  44'  6.6""","-122°  32'  21.48""",U,Jackson,5/5/19 19:52,Debris Burning,1,1
2019,71 - Southwest,Medford,522,Dodge Rd 3569,T35S R2W S13 SESE,"42°  31'  21.42""","-122°  52'  37.8""",L,Jackson,5/6/19 14:32,Debris Burning,1.5,1.5
2019,71 - Southwest,Medford,524,Mcdonough Rd 1100,T35S R2W S20 NWNW,"42°  31'  9.18""","-122°  58'  27""",A,Jackson,5/6/19 16:04,Debris Burning,0.25,0.25
2019,71 - Southwest,Medford,526,Neil Rock,T35S R2W S8 NWNW,"42°  32'  52.5""","-122°  58'  11.88""",C,Jackson,5/7/19 16:10,Debris Burning,9.5,9.5
2019,71 - Southwest,Medford,527,Ragsdale 590,T34S R1W S4 SENE,"42°  38'  36.72""","-122°  49'  6.6""",L,Jackson,5/8/19 12:02,Miscellaneous,0.1,0.1
2019,71 - Southwest,Medford,528,Lewis Creek Rd 445,T33S R1W S35 SWNW,"42°  39'  37.08""","-122°  47'  39.96""",H,Jackson,5/9/19 13:45,Debris Burning,0.25,0.25
2019,71 - Southwest,Medford,532,Waters Gulch 2532,T39S R2W S32 NESW,"42°  7'  51.82""","-122°  57'  50.61""",H,Jackson,5/11/19 13:01,Debris Burning,1,1
2019,71 - Southwest,Medford,533,Keene Creek,T40S R3E S4 NENW,"42°  7'  33.18""","-122°  28'  28.38""",A,Jackson,5/12/19 10:13,Equipment Use,0.1,0.1
2019,71 - Southwest,Grants Pass,537,Cienaga Ln 1046,T35S R6W S34 SENW,"42°  29'  12.58""","-123°  23'  58.8""",X,Josephine,9/2/19 14:59,Miscellaneous,0,0
2019,71 - Southwest,Medford,539,Medco A,T34S R2E S6 SWSW,"42°  38'  13.14""","-122°  38'  15.06""",A,Jackson,5/24/19 13:15,Debris Burning,0.01,0.01
2019,71 - Southwest,Grants Pass,539,Wilderville Lane 785,T37S R7W S1 NWSW,"42°  22'  50.52""","-123°  28'  52.8""",H,Josephine,9/3/19 2:20,Miscellaneous,0.01,0.01
2019,71 - Southwest,Medford,540,Little Applegate 4001,T39S R2W S19 SWNW,"42°  9'  58.38""","-122°  59'  35.22""",A,Jackson,5/24/19 19:14,Debris Burning,1.5,1.5
2019,71 - Southwest,Medford,543,Little Applegate,T39S R3W S10 NWNE,"42°  11'  49.71""","-123°  2'  21.03""",A,Jackson,5/28/19 12:11,Equipment Use,0.1,0.1
2019,71 - Southwest,Grants Pass,543,Kincaid Rd 1895,T39S R5W S5 NENW,"42°  12'  51.12""","-123°  19'  15.12""",L,Josephine,9/3/19 13:23,Equipment Use,0.01,0.01
2019,71 - Southwest,Grants Pass,544,Old Hwy 199 29220,T39S R8W S32 SESW,"42°  7'  36.54""","-123°  40'  24.9""",A,Josephine,9/3/19 17:28,Miscellaneous,0.33,0.33
2019,71 - Southwest,Medford,545,Medford Oaks,T36S R1E S8 SENW,"42°  27'  20.1""","-122°  43'  58.02""",L,Jackson,5/29/19 12:26,Debris Burning,1.5,1.5
2019,71 - Southwest,Medford,549,Butte Falls Hwy 9510,T34S R1E S34 SESW,"42°  33'  49.32""","-122°  41'  24.78""",R,Jackson,5/30/19 15:28,Debris Burning,1,1
